FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR
13102,13102,Jordan Todman,IND,RB,721.3,720.2,10,2.5,56.8,0,0
14756,14756,Jeremy Stewart,,RB,721.3,720.2,,2.5,,1,1
17807,17807,Matt Lacosse,NYG,TE,721.3,720.2,8,2.5,,1,1
13586,13586,Kevin Brock,,TE,725.8,724.7,,2.4,,1,1
16013,16013,Gator Hoskins,,TE,725.8,724.7,,2.4,,1,1
16946,16946,Geremy Davis,NYG,WR,725.8,724.7,8,2.4,,1,1
17026,17026,John Crockett,GB,RB,725.8,724.7,4,2.4,,1,1
11926,11926,Chad Hall,,WR,730.3,729.2,,2.3,,1,1
17030,17030,Tyler Varga,IND,RB,730.3,729.2,10,2.3,25.1,1,0
16606,16606,Solomon Patton,,WR,732.6,731.4,,2.1,,1,1
17234,17234,Alonzo Harris,,RB,732.6,731.4,,2.1,,1,1
14687,14687,Bernard Pierce,,RB,734.8,733.7,,2,,1,1
15676,15676,Jeremy Ebert,,WR,734.8,733.7,,2,,1,1
16964,16964,Darren Waller,BAL,WR,734.8,733.7,8,2,,1,1
16966,16966,Aaron Ripkowski,GB,RB,734.8,733.7,4,2,14.5,1,1
17269,17269,Deandrew White,SF,WR,734.8,733.7,8,2,,1,1
9253,9253,Billy Bajema,,TE,734.8,733.7,,2,,1,1
15982,15982,Matt Simms,ATL,QB,741.6,740.4,11,2,,1,1
16123,16123,Ray Agnew,,RB,742.7,741.6,,1.9,,1,1
12516,12516,Kory Sperry,,TE,743.8,742.7,,1.8,,1,1
16534,16534,Roosevelt Nix,PIT,RB,743.8,742.7,8,1.8,,1,1
16758,16758,Josh Harris,,RB,743.8,742.7,,1.8,,1,1
17241,17241,Tyler Murphy,MIA,WR,743.8,742.7,8,1.8,,1,1
139,139,Tori Gurley,,WR,748.3,747.2,,1.7,,1,1
