StadiumDetails/StadiumID,StadiumDetails/Name,StadiumDetails/City,StadiumDetails/State,StadiumDetails/Country,StadiumDetails/Capacity,StadiumDetails/PlayingSurface,StadiumDetails/GeoLat,StadiumDetails/GeoLong,GameKey,SeasonType,Season,Week,Date,AwayTeam,HomeTeam,Channel,PointSpread,OverUnder,StadiumID,GeoLat,GeoLong,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,AwayTeamMoneyLine,HomeTeamMoneyLine,StadiumDetails
4,Gillette Stadium,Foxborough,MA,USA,68756,Grass,42.090866,-71.264244,201610621,1,2016,6,2016-10-16T13:00:00,CIN,NE,,,,4,,,,,,,,,,
16,O.co Coliseum,Oakland,CA,USA,53200,Grass,37.751613,-122.200509,201610625,1,2016,6,2016-10-16T16:05:00,KC,OAK,,,,16,,,,,,,,,,
31,CenturyLink Field,Seattle,WA,USA,67000,Artificial,47.595153,-122.331625,201610630,1,2016,6,2016-10-16T16:25:00,ATL,SEA,,,,31,,,,,,,,,,
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,201610612,1,2016,6,2016-10-16T16:25:00,DAL,GB,,,,22,,,,,,,,,,
11,Reliant Stadium,Houston,TX,USA,71054,Dome,29.684543,-95.410932,201610613,1,2016,6,2016-10-16T20:30:00,IND,HOU,,,,11,,,,,,,,,,
29,University of Phoenix Stadium,Glendale,AZ,USA,63400,Dome,33.527558,-112.263036,201610601,1,2016,6,2016-10-17T20:30:00,NYJ,ARI,,,,29,,,,,,,,,,
,,,,,,,,,,1,2016,7,,BYE,CAR,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,7,,BYE,DAL,,,,,,,,,,,1,,,
22,Lambeau Field,Green Bay,WI,USA,80750,Grass,44.501389,-88.061944,201610712,1,2016,7,2016-10-20T20:25:00,CHI,GB,,,,22,,,,,,,,,,
38,Los Angeles Memorial Coliseum,Los Angeles,CA,USA,93607,Grass,34.014167,-118.287778,201610732,1,2016,7,2016-10-23T09:30:00,NYG,LA,,,,38,,,,,,,,,,
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.049002,-94.483864,201610716,1,2016,7,2016-10-23T13:00:00,NO,KC,,,,15,,,,,,,,,,
12,LP Field,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,201610734,1,2016,7,2016-10-23T13:00:00,IND,TEN,,,,12,,,,,,,,,,
18,Lincoln Financial Field,Philadelphia,PA,USA,68532,Grass,39.900771,-75.167469,201610726,1,2016,7,2016-10-23T13:00:00,MIN,PHI,,,,18,,,,,,,,,,
5,Paul Brown Stadium,Cincinnati,OH,USA,65535,Artificial,39.095309,-84.516003,201610707,1,2016,7,2016-10-23T13:00:00,CLE,CIN,,,,5,,,,,,,,,,
21,Ford Field,Detroit,MI,USA,65000,Dome,42.340021,-83.045777,201610711,1,2016,7,2016-10-23T13:00:00,WAS,DET,,,,21,,,,,,,,,,
10,EverBank Field,Jacksonville,FL,USA,67246,Artificial,30.323813,-81.637199,201610715,1,2016,7,2016-10-23T13:00:00,OAK,JAX,,,,10,,,,,,,,,,
2,Sun Life Stadium,Miami Gardens,FL,USA,76100,Grass,25.95774,-80.238781,201610719,1,2016,7,2016-10-23T13:00:00,BUF,MIA,,,,2,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610724,1,2016,7,2016-10-23T13:00:00,BAL,NYJ,,,,3,,,,,,,,,,
37,Levi's Stadium,Santa Clara,CA,USA,68500,,37.404108,-121.970274,201610731,1,2016,7,2016-10-23T16:05:00,TB,SF,,,,37,,,,,,,,,,
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,201610702,1,2016,7,2016-10-23T16:05:00,SD,ATL,,,,25,,,,,,,,,,
8,Heinz Field,Pittsburgh,PA,USA,65050,Grass,40.446751,-80.015707,201610728,1,2016,7,2016-10-23T16:25:00,NE,PIT,,,,8,,,,,,,,,,
29,University of Phoenix Stadium,Glendale,AZ,USA,63400,Dome,33.527558,-112.263036,201610701,1,2016,7,2016-10-23T20:30:00,SEA,ARI,,,,29,,,,,,,,,,
13,Sports Authority Field at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,201610710,1,2016,7,2016-10-24T20:30:00,HOU,DEN,,,,13,,,,,,,,,,
,,,,,,,,,,1,2016,8,,BYE,BAL,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,8,,BYE,LA,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,8,,BYE,MIA,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,8,,BYE,NYG,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,8,,BYE,PIT,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,8,,BYE,SF,,,,,,,,,,,1,,,
12,LP Field,Nashville,TN,USA,6914,Grass,36.166441,-86.771253,201610834,1,2016,8,2016-10-27T20:25:00,JAX,TEN,,,,12,,,,,,,,,,
5,Paul Brown Stadium,Cincinnati,OH,USA,65535,Artificial,39.095309,-84.516003,201610807,1,2016,8,2016-10-30T09:30:00,WAS,CIN,,,,5,,,,,,,,,,
9,Lucas Oil Stadium,Indianapolis,IN,USA,67000,Dome,39.760056,-86.163806,201610814,1,2016,8,2016-10-30T13:00:00,KC,IND,,,,9,,,,,,,,,,
24,Raymond James Stadium,Tampa Bay,FL,USA,65890,Grass,27.975967,-82.50335,201610833,1,2016,8,2016-10-30T13:00:00,OAK,TB,,,,24,,,,,,,,,,
27,Mercedes-Benz Superdome,New Orleans,LA,USA,73208,Dome,29.950931,-90.081364,201610822,1,2016,8,2016-10-30T13:00:00,SEA,NO,,,,27,,,,,,,,,,
11,Reliant Stadium,Houston,TX,USA,71054,Dome,29.684543,-95.410932,201610813,1,2016,8,2016-10-30T13:00:00,DET,HOU,,,,11,,,,,,,,,,
6,FirstEnergy Stadium,Cleveland,OH,USA,71516,Artificial,41.505885,-81.699458,201610808,1,2016,8,2016-10-30T13:00:00,NYJ,CLE,,,,6,,,,,,,,,,
25,Georgia Dome,Atlanta,GA,USA,74228,Dome,33.757614,-84.400972,201610802,1,2016,8,2016-10-30T13:00:00,GB,ATL,,,,25,,,,,,,,,,
1,Ralph Wilson Stadium,Orchard Park,NY,USA,73079,Artificial,42.773758,-78.786837,201610804,1,2016,8,2016-10-30T13:00:00,NE,BUF,,,,1,,,,,,,,,,
13,Sports Authority Field at Mile High,Denver,CO,USA,76125,Grass,39.743936,-105.020097,201610810,1,2016,8,2016-10-30T16:05:00,SD,DEN,,,,13,,,,,,,,,,
26,Bank of America Stadium,Charlotte,NC,USA,73778,Grass,35.225808,-80.852861,201610805,1,2016,8,2016-10-30T16:25:00,ARI,CAR,,,,26,,,,,,,,,,
17,AT&T Stadium,Arlington,TX,USA,80000,Dome,32.747778,-97.092778,201610809,1,2016,8,2016-10-30T20:30:00,PHI,DAL,,,,17,,,,,,,,,,
20,Soldier Field,Chicago,IL,USA,61500,Grass,41.86232,-87.616699,201610806,1,2016,8,2016-10-31T20:30:00,MIN,CHI,,,,20,,,,,,,,,,
,,,,,,,,,,1,2016,9,,BYE,ARI,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,9,,BYE,CHI,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,9,,BYE,CIN,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,9,,BYE,HOU,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,9,,BYE,NE,,,,,,,,,,,1,,,
,,,,,,,,,,1,2016,9,,BYE,WAS,,,,,,,,,,,1,,,
24,Raymond James Stadium,Tampa Bay,FL,USA,65890,Grass,27.975967,-82.50335,201610933,1,2016,9,2016-11-03T20:25:00,ATL,TB,,,,24,,,,,,,,,,
7,M&T Bank Stadium,Baltimore,MD,USA,71008,Artificial,39.277985,-76.622788,201610903,1,2016,9,2016-11-06T13:00:00,PIT,BAL,,,,7,,,,,,,,,,
6,FirstEnergy Stadium,Cleveland,OH,USA,71516,Artificial,41.505885,-81.699458,201610908,1,2016,9,2016-11-06T13:00:00,DAL,CLE,,,,6,,,,,,,,,,
15,Arrowhead Stadium,Kansas City,MO,USA,76416,Grass,39.049002,-94.483864,201610916,1,2016,9,2016-11-06T13:00:00,JAX,KC,,,,15,,,,,,,,,,
2,Sun Life Stadium,Miami Gardens,FL,USA,76100,Grass,25.95774,-80.238781,201610919,1,2016,9,2016-11-06T13:00:00,NYJ,MIA,,,,2,,,,,,,,,,
3,MetLife Stadium,East Rutherford,NJ,USA,82500,Artificial,40.813611,-74.074444,201610923,1,2016,9,2016-11-06T13:00:00,PHI,NYG,,,,3,,,,,,,,,,
